Name,Crossover Name,Arrvied,Best Fitness,Best Genome,Genome Length
"Floors: 10, People: 100, Generation: 1000",swap_last_halves,100/100,7343,"[5, 0, 1, 4, 1, 6, 9, 7, 2, 0, 1, 7, 6, 3, 1, 0, 5, 4, 5, 7, 8, 6, 5, 4, 1, 2, 9, 5, 3, 8, 4, 0, 6, 9, 7, 5, 1, 3, 4, 6, 7, 5, 8, 2, 4, 3, 5, 8, 6, 1, 0]",51
"Floors: 10, People: 100, Generation: 1000",heuristic_crossover_single_gene,86/100,146037,"[5, 0, 1, 4, 6, 1, 7, 9, 7, 2, 1, 0, 1, 7, 6, 5, 3, 0, 9, 6, 5, 1, 7, 6, 8, 4, 3, 5, 9, 6, 5, 0, 1, 2, 5, 9, 7, 1, 3, 7, 4, 0, 5, 8]",44
"Floors: 10, People: 100, Generation: 1000",heuristic_crossover_sequence_of_genes,100/100,7706,"[5, 0, 1, 6, 9, 7, 4, 1, 5, 9, 8, 3, 2, 0, 6, 7, 4, 5, 9, 6, 5, 1, 0, 2, 4, 5, 9, 8, 3, 1, 0, 7, 4, 5, 6, 8, 5, 2, 5, 9, 8, 6, 2, 1, 3, 4, 5, 6, 7, 2, 1, 3, 0, 4]",54
