Name,Crossover Name,Arrvied,Best Fitness,Best Genome,Genome Length
"Floors: 50, People: 100, Generation: 1000",swap_last_halves,68/100,347006,"[4, 42, 36, 26, 12, 7, 15, 18, 21, 28, 1, 22, 27, 17, 16, 5, 27, 30, 27, 43, 29, 25, 23, 13, 35, 47, 44, 14, 10, 9, 18, 23, 42, 13, 0, 24, 27, 33, 41, 6, 32, 46, 48, 47, 37, 39, 36, 19, 12, 3, 21, 45, 44, 41, 39, 20, 1, 35]",58
"Floors: 50, People: 100, Generation: 1000",heuristic_crossover_single_gene,44/100,582459,"[13, 33, 6, 37, 10, 24, 41, 36, 9, 36, 23, 44, 0, 27, 24, 24, 24, 26, 26, 39, 32, 7, 48, 42, 46, 45, 15, 19, 27, 23, 23, 12, 27, 36, 3, 4, 17, 47, 47, 39, 13, 26, 21, 5, 49, 24, 47, 28, 35]",49
"Floors: 50, People: 100, Generation: 1000",heuristic_crossover_sequense_of_genes,94/100,127933,"[14, 13, 10, 11, 4, 9, 41, 48, 0, 8, 15, 32, 34, 41, 27, 22, 5, 30, 47, 8, 27, 13, 20, 45, 1, 17, 35, 43, 23, 29, 19, 24, 3, 32, 44, 48, 21, 18, 23, 39, 3, 19, 24, 39, 42, 16, 39, 36, 26, 7, 5, 4, 6, 28, 25, 33, 9, 41, 46, 49, 42, 23, 2, 6, 8, 8, 26, 7, 4, 6, 15, 19, 21, 18, 22, 24, 36, 26, 1, 4, 3, 25, 33, 41, 46, 42, 28, 8, 6, 2, 33, 16, 7, 24, 32, 18, 25, 37, 12, 1, 15, 17, 36, 27, 44, 24, 6, 20, 41, 8]",110
