Name,Crossover Name,Arrvied,Best Fitness,Best Genome,Genome Length
"Floors: 50, People: 100, Generation: 1000",swap_last_halves,79/100,259130,"[13, 15, 23, 40, 24, 32, 36, 45, 26, 10, 21, 9, 5, 48, 47, 13, 4, 7, 15, 39, 12, 28, 1, 0, 6, 19, 42, 17, 27, 44, 46, 33, 41, 42, 47, 3, 32, 12, 21, 20, 35, 31, 5, 27, 23, 43, 29, 1, 16, 24, 26, 5, 39, 49, 24, 25, 33, 4, 8, 15, 26, 9, 6, 37, 36, 44, 27, 18, 23, 16, 39]",71
"Floors: 50, People: 100, Generation: 1000",heuristic_crossover_single_gene,48/100,548857,"[43, 17, 9, 33, 0, 27, 29, 6, 10, 44, 33, 31, 37, 31, 41, 35, 46, 23, 35, 47, 43, 24, 9, 12, 18, 32, 42, 13, 41, 17, 32, 32, 32, 5, 20, 9, 27, 23, 48, 45, 47, 6, 31, 37, 27, 27, 44, 10, 36, 29, 4, 1, 16, 25, 9, 26, 5, 49, 8]",59
"Floors: 50, People: 100, Generation: 1000",heuristic_crossover_sequence_of_genes,94/100,121157,"[13, 41, 34, 11, 10, 9, 8, 0, 15, 47, 32, 45, 27, 5, 6, 13, 22, 46, 23, 12, 3, 17, 30, 36, 24, 26, 47, 32, 27, 31, 7, 15, 43, 29, 21, 20, 44, 42, 1, 17, 28, 18, 35, 48, 16, 2, 22, 21, 25, 9, 33, 6, 15, 37, 36, 24, 25, 39, 44, 41, 37, 19, 1, 4, 3, 26, 42, 20, 18, 16, 15, 22, 25, 34, 39, 23, 37, 36, 33, 33, 41, 37, 36, 19, 12, 4, 1, 3, 5, 30, 36, 32, 27, 31, 33, 41, 41, 37, 24, 19, 1, 3, 24, 41, 41, 42, 15, 17, 25, 2, 33, 49, 39, 8, 26, 27, 24, 39, 36, 2, 36, 18, 45, 16]",124
