Name,Crossover Name,Arrvied,Best Fitness,Best Genome,Genome Length
"Floors: 50, People: 10, Generation: 1000",swap_last_halves,7/10,30699,"[12, 13, 17, 24, 37, 47, 0, 6, 7, 26, 40, 41, 5, 22]",14
"Floors: 50, People: 10, Generation: 1000",heuristic_crossover_single_gene,9/10,11209,"[0, 12, 6, 26, 41, 47, 8, 13, 27, 27, 37, 17, 7, 5, 4, 22, 23, 24, 24, 24, 24, 24, 40, 0]",24
"Floors: 50, People: 10, Generation: 1000",heuristic_crossover_sequense_of_genes,10/10,891,"[0, 4, 5, 8, 22, 23, 12, 13, 17, 26, 24, 27, 37, 47, 6, 1, 7, 34, 40, 41]",20
