Name,Crossover Name,Arrvied,Best Fitness,Best Genome,Genome Length
"Floors: 100, People: 100, Generation: 1000",swap_last_halves,54/100,508093,"[47, 70, 60, 39, 8, 13, 4, 45, 43, 30, 14, 46, 59, 99, 85, 27, 16, 53, 68, 44, 15, 3, 78, 99, 86, 48, 51, 35, 32, 38, 37, 11, 74, 69, 87, 80, 29, 62, 67, 84, 89, 93, 87, 46, 21, 2, 0, 64, 90, 53, 48, 68, 95, 79, 11, 26, 10, 6, 80, 78, 62]",61
"Floors: 100, People: 100, Generation: 1000",heuristic_crossover_single_gene,38/100,650079,"[22, 44, 94, 62, 62, 2, 35, 35, 64, 86, 48, 48, 25, 25, 35, 35, 35, 61, 61, 61, 87, 95, 84, 81, 81, 85, 88, 88, 90, 81, 81, 63, 6, 37, 37, 93, 93, 90, 62, 62, 16, 16, 53, 53, 68, 46, 46, 46, 69, 67, 78, 96, 79, 62, 62, 59, 53, 48, 48, 48, 37, 87, 85, 85, 81, 26, 62, 51, 51, 51, 51, 71, 23, 23, 35, 35, 35, 35, 48, 48, 48, 64, 64, 64, 68, 68, 68, 81, 62, 62, 89]",91
"Floors: 100, People: 100, Generation: 1000",heuristic_crossover_sequence_of_genes,57/100,480300,"[0, 2, 46, 69, 67, 64, 29, 59, 51, 78, 95, 87, 89, 35, 48, 68, 43, 15, 82, 81, 84, 49, 21, 22, 26, 62, 84, 56, 27, 6, 23, 3, 2, 32, 10, 80, 96, 81, 61, 25, 7, 55, 29, 6, 60, 63, 85, 74, 62, 87, 93, 46, 16, 27, 90, 78, 38, 37, 11, 53, 68, 67, 20, 53, 51]",65
