Name,Crossover Name,Arrvied,Best Fitness,Best Chromosome,Chromosome Length
"Floors: 50, People: 50, Generation: 1000",swap_last_halves,35/50,159462,"[49, 48, 47, 46, 12, 2, 15, 24, 25, 26, 28, 35, 33, 6, 30, 36, 34, 40, 41, 46, 39, 17, 16, 14, 21, 29, 13, 4, 5, 33, 37, 43, 47, 49, 8, 15, 0, 38, 26, 20]",40
"Floors: 50, People: 50, Generation: 1000",heuristic_crossover_single_gene,32/50,190549,"[4, 4, 32, 33, 27, 48, 29, 21, 13, 6, 47, 49, 45, 45, 39, 24, 16, 24, 41, 47, 17, 2, 43, 43, 43, 24, 24, 16, 14, 26, 26, 34, 49, 49, 40, 13, 21, 37, 38, 23, 38, 48, 4, 4, 20, 20, 22, 28, 35]",49
"Floors: 50, People: 50, Generation: 1000",heuristic_crossover_sequence_of_genes,41/50,99803,"[8, 22, 29, 47, 48, 12, 15, 24, 26, 28, 36, 34, 27, 39, 16, 13, 6, 4, 1, 16, 3, 33, 35, 37, 38, 42, 43, 41, 40, 27, 20, 6, 5, 11, 21, 17, 14, 45, 47, 49, 2]",41
