Name,Crossover Name,Arrvied,Best Fitness,Best Chromosome,Chromosome Length
"Floors: 10, People: 50, Generation: 1000",swap_last_halves,50/50,2390,"[8, 2, 0, 3, 4, 8, 9, 5, 2, 1, 6, 9, 5, 2, 0, 3, 4, 5, 7, 9, 5, 6, 7, 4, 2, 1]",26
"Floors: 10, People: 50, Generation: 1000",heuristic_crossover_single_gene,50/50,2628,"[3, 9, 2, 4, 5, 1, 3, 2, 9, 6, 3, 0, 5, 4, 2, 7, 9, 8, 5, 2, 0, 3, 4, 6, 7, 2, 5, 1]",28
"Floors: 10, People: 50, Generation: 1000",heuristic_crossover_sequence_of_genes,50/50,2207,"[5, 7, 9, 2, 1, 0, 5, 6, 5, 4, 5, 8, 5, 3, 4, 5, 2, 0, 1, 9, 6, 5, 7, 4, 2, 1, 8, 2, 0]",29
