Name,Crossover Name,Arrvied,Best Fitness,Best Chromosome,Chromosome Length
"Floors: 10, People: 100, Generation: 1000",swap_last_halves,98/100,28471,"[5, 6, 9, 0, 1, 4, 1, 7, 9, 2, 7, 0, 1, 6, 5, 7, 6, 3, 4, 1, 5, 8, 4, 5, 3, 6, 2, 9, 8, 6, 4, 0, 7, 5, 2, 1, 5, 8, 9, 5, 6, 3, 4, 2, 5, 6, 7, 1]",48
"Floors: 10, People: 100, Generation: 1000",heuristic_crossover_single_gene,84/100,165131,"[2, 5, 0, 1, 4, 9, 7, 1, 2, 1, 0, 6, 7, 5, 4, 0, 3, 1, 9, 8, 4, 6, 3, 5, 2, 1, 0, 9, 7, 8, 5, 6, 8, 0, 2, 4, 5, 9, 0, 1]",40
"Floors: 10, People: 100, Generation: 1000",heuristic_crossover_sequence_of_genes,100/100,7698,"[5, 1, 4, 6, 9, 7, 1, 2, 0, 6, 4, 1, 2, 5, 9, 6, 3, 4, 5, 8, 9, 4, 0, 6, 5, 8, 4, 7, 5, 2, 3, 6, 8, 5, 9, 6, 2, 1, 3, 5, 6, 7, 8, 6, 5, 1, 3, 4, 2, 0, 5, 7, 5, 3, 5, 8, 8, 6, 5, 7, 4, 0, 2, 9]",64
