Name,Crossover Name,Arrvied,Best Fitness,Best Genome,Genome Length
"Floors: 50, People: 50, Generation: 1000",swap_last_halves,35/50,157899,"[8, 12, 15, 26, 47, 48, 19, 22, 24, 25, 28, 35, 39, 36, 34, 33, 16, 6, 37, 41, 29, 17, 13, 43, 40, 21, 14, 4, 3, 33, 47, 48, 49, 38, 35, 20, 2]",37
"Floors: 50, People: 50, Generation: 1000",heuristic_crossover_single_gene,28/50,228024,"[29, 32, 40, 43, 27, 36, 36, 45, 47, 21, 39, 46, 46, 49, 33, 33, 24, 2, 13, 24, 28, 33, 34, 35, 47, 4, 4, 4, 20, 20, 20, 13, 13, 19, 22, 33, 43, 48, 16, 21, 21, 6, 41, 41, 41, 41, 28, 27]",48
"Floors: 50, People: 50, Generation: 1000",heuristic_crossover_sequense_of_genes,40/50,112372,"[40, 33, 6, 4, 19, 21, 22, 26, 33, 41, 45, 34, 47, 40, 23, 17, 16, 14, 15, 4, 24, 28, 48, 1, 5, 12, 16, 7, 6, 0, 26, 27, 25, 39, 45, 49, 37, 35, 38, 36, 34, 13, 2, 12, 20, 43, 49, 48, 15]",49
