Name,Crossover Name,Arrvied,Best Fitness,Best Chromosome,Chromosome Length
"Floors: 50, People: 50, Generation: 1000",swap_last_halves,40/50,110314,"[8, 22, 29, 47, 48, 15, 24, 26, 28, 16, 13, 7, 6, 37, 41, 40, 36, 25, 35, 38, 39, 34, 13, 5, 17, 42, 43, 49, 32, 11, 2, 4, 14, 20, 21, 27, 33, 45, 47, 39, 6]",41
"Floors: 50, People: 50, Generation: 1000",heuristic_crossover_single_gene,32/50,192207,"[21, 48, 33, 12, 15, 6, 26, 1, 24, 34, 40, 47, 24, 5, 4, 16, 21, 37, 37, 33, 41, 34, 13, 28, 34, 35, 0, 0, 38, 33, 33, 27, 33, 20, 17, 17, 17, 20, 45, 14, 47, 49, 2, 21, 21, 39, 39, 39, 43]",49
"Floors: 50, People: 50, Generation: 1000",heuristic_crossover_sequence_of_genes,37/50,142543,"[40, 33, 21, 6, 4, 19, 22, 26, 33, 27, 40, 24, 16, 37, 41, 38, 34, 4, 25, 28, 39, 29, 47, 48, 34, 24, 17, 28, 14, 13, 0, 3, 12, 20, 42, 43, 49, 35, 26, 15, 2, 6, 24, 11]",44
