Name,Crossover Name,Arrvied,Best Fitness,Best Chromosome,Chromosome Length
"Floors: 100, People: 50, Generation: 1000",swap_last_halves,33/50,189195,"[17, 42, 80, 67, 18, 6, 47, 48, 55, 56, 60, 59, 65, 26, 15, 37, 31, 11, 48, 54, 78, 85, 58, 39, 1, 5, 13, 22, 36, 50, 39, 32, 44, 55, 78, 79, 64, 7, 2, 29, 53, 83, 87, 73, 9, 62, 80, 61, 91]",49
"Floors: 100, People: 50, Generation: 1000",heuristic_crossover_single_gene,30/50,220208,"[14, 14, 65, 75, 78, 5, 44, 17, 39, 59, 56, 50, 38, 38, 7, 26, 33, 42, 33, 22, 29, 48, 31, 26, 31, 62, 62, 55, 55, 64, 67, 71, 73, 78, 59, 59, 83, 83, 83, 88, 83, 80, 85, 85, 85, 67, 67, 54, 39, 85, 81, 80, 77, 50, 50, 50, 59, 59, 59, 71, 47, 47, 55, 55, 60, 60, 60, 62, 89, 89, 48, 26, 29, 42, 42, 38, 26, 7, 7, 38, 86, 56, 50, 50, 44, 32, 5, 78, 75, 14, 14, 8, 72, 58]",94
"Floors: 100, People: 50, Generation: 1000",heuristic_crossover_sequence_of_genes,30/50,211815,"[42, 47, 60, 67, 72, 80, 65, 58, 48, 31, 26, 15, 11, 7, 2, 14, 48, 73, 79, 71, 17, 32, 37, 56, 55, 39, 29, 50, 64, 78, 83, 22, 9, 44, 54, 53, 61, 62, 80, 85, 87, 91, 73]",43
