Name,Crossover Name,Arrvied,Best Fitness,Best Genome,Genome Length
"Floors: 100, People: 50, Generation: 1000",swap_last_halves,36/50,160595,"[8, 29, 59, 71, 65, 78, 86, 83, 72, 48, 31, 36, 55, 22, 26, 9, 5, 81, 77, 61, 57, 97, 75, 67, 58, 52, 48, 56, 91, 79, 64, 39, 32, 50, 78, 23, 7, 2, 62, 80, 47, 44, 73, 60, 53, 26, 17, 7, 11, 54, 56, 85, 87]",53
"Floors: 100, People: 50, Generation: 1000",heuristic_crossover_single_gene,29/50,231116,"[71, 71, 80, 83, 72, 72, 26, 26, 56, 58, 58, 67, 41, 64, 86, 76, 10, 49, 48, 48, 31, 9, 7, 5, 5, 2, 2, 20, 47, 39, 78, 78, 78, 78, 78, 60, 22, 1, 13, 20, 20, 20, 60, 61, 29, 29, 29, 29, 73, 90, 90, 60, 60, 60, 32, 83, 78, 78, 78, 78, 39, 14, 14, 7, 7, 7, 48, 91, 91, 50, 48, 48, 48, 18, 18, 6, 52, 52, 23, 58, 23, 77, 82, 82, 13]",85
"Floors: 100, People: 50, Generation: 1000",heuristic_crossover_sequence_of_genes,37/50,150444,"[42, 47, 55, 59, 67, 80, 72, 65, 60, 58, 48, 26, 1, 2, 31, 48, 49, 20, 15, 13, 37, 56, 71, 83, 64, 9, 7, 5, 73, 54, 39, 36, 32, 61, 78, 85, 91, 79, 70, 75, 64, 55, 33, 50, 56, 88, 86, 90, 22, 34, 52, 23, 36, 89, 57, 38, 5, 97, 60]",59
