Name,Crossover Name,Arrvied,Best Fitness,Best Genome,Genome Length
"Floors: 10, People: 50, Generation: 1000",swap_last_halves,50/50,2550,"[9, 5, 2, 4, 1, 5, 6, 5, 3, 2, 0, 9, 7, 8, 5, 4, 2, 9, 6, 4, 1, 0, 5, 7, 8, 2, 3, 4, 0, 9]",30
"Floors: 10, People: 50, Generation: 1000",heuristic_crossover_single_gene,50/50,3158,"[3, 9, 5, 4, 2, 4, 1, 6, 3, 5, 0, 9, 3, 8, 2, 0, 9, 4, 5, 6, 1, 4, 7, 9, 5, 2, 0, 3]",28
"Floors: 10, People: 50, Generation: 1000",heuristic_crossover_sequence_of_genes,50/50,2127,"[3, 5, 9, 3, 2, 4, 0, 1, 6, 8, 9, 5, 9, 7, 4, 3, 2, 5, 9, 8, 6, 3, 2, 0, 4, 5, 6, 7, 1]",29
