Name,Crossover Name,Arrvied,Best Fitness,Best Genome,Genome Length
"Floors: 50, People: 50, Generation: 1000",swap_last_halves,34/50,166936,"[4, 19, 26, 33, 40, 6, 21, 22, 27, 45, 47, 48, 41, 39, 36, 34, 17, 15, 24, 16, 14, 28, 29, 35, 37, 47, 49, 6, 4, 0, 2, 13, 38, 43, 49, 20]",36
"Floors: 50, People: 50, Generation: 1000",heuristic_crossover_single_gene,33/50,179985,"[22, 33, 12, 26, 47, 48, 46, 15, 24, 16, 6, 2, 5, 28, 41, 34, 35, 40, 37, 38, 21, 28, 47, 29, 36, 13, 34, 43, 43, 47, 47, 49, 49, 8, 2, 8, 20, 20, 20, 26, 26, 4, 17, 33]",44
"Floors: 50, People: 50, Generation: 1000",heuristic_crossover_sequense_of_genes,37/50,139087,"[40, 33, 7, 6, 4, 19, 26, 27, 33, 40, 25, 21, 22, 34, 41, 39, 48, 47, 36, 24, 17, 17, 16, 14, 28, 29, 37, 38, 34, 35, 13, 0, 4, 6, 32, 27, 20, 33, 43, 45, 47, 49, 2]",43
