Name,Crossover Name,Arrvied,Best Fitness,Best Genome,Genome Length
"Floors: 10, People: 50, Generation: 1000",swap_last_halves,50/50,2465,"[7, 9, 2, 4, 5, 3, 0, 1, 6, 9, 0, 5, 3, 2, 7, 9, 8, 5, 4, 2, 6, 4, 3, 7, 8, 1, 0]",27
"Floors: 10, People: 50, Generation: 1000",heuristic_crossover_single_gene,45/50,51952,"[3, 4, 5, 2, 4, 9, 1, 6, 5, 3, 2, 0, 9, 5, 8, 3, 4, 7, 9, 2, 1, 5]",22
"Floors: 10, People: 50, Generation: 1000",heuristic_crossover_sequense_of_genes,50/50,2032,"[3, 7, 9, 2, 4, 5, 0, 1, 3, 8, 9, 6, 5, 3, 4, 6, 4, 2, 1, 0, 5, 7, 9, 8, 6, 2, 1, 0]",28
