Name,Crossover Name,Arrvied,Best Fitness,Best Chromosome,Chromosome Length
"Floors: 50, People: 100, Generation: 1000",swap_last_halves,79/100,254572,"[49, 13, 10, 6, 11, 37, 41, 46, 9, 24, 22, 30, 36, 12, 8, 15, 27, 23, 5, 0, 32, 45, 46, 47, 48, 24, 23, 13, 26, 36, 39, 34, 7, 5, 19, 27, 17, 15, 21, 49, 28, 43, 29, 3, 6, 44, 21, 2, 21, 18, 16, 1, 22, 33, 42, 41, 17, 6, 0, 10, 3, 39, 20, 35, 25, 33, 41, 15, 9, 1, 47]",71
"Floors: 50, People: 100, Generation: 1000",heuristic_crossover_single_gene,40/100,614297,"[0, 9, 8, 0, 36, 33, 27, 15, 13, 5, 26, 32, 32, 26, 10, 43, 47, 47, 47, 47, 29, 23, 13, 7, 41, 9, 15, 30, 15, 7, 7, 7, 5, 23, 27, 47, 43, 26, 24, 26, 32, 25, 39, 44, 39, 39, 33, 48, 23, 21, 42, 36, 19, 42, 20]",55
"Floors: 50, People: 100, Generation: 1000",heuristic_crossover_sequence_of_genes,93/100,135099,"[14, 13, 10, 7, 34, 9, 41, 47, 32, 17, 15, 13, 45, 22, 8, 3, 0, 5, 30, 27, 35, 47, 15, 21, 23, 6, 24, 5, 28, 36, 32, 46, 48, 46, 23, 1, 12, 17, 27, 37, 44, 42, 20, 33, 43, 35, 30, 30, 15, 21, 23, 24, 28, 26, 36, 1, 7, 10, 18, 39, 16, 19, 23, 41, 39, 39, 25, 15, 4, 25, 15, 9, 3, 20, 24, 29, 28, 36, 32, 46, 48, 46, 23, 1, 10, 17, 27, 37, 44, 42, 33, 26, 35, 30, 30, 21, 23, 24, 6, 5, 28, 35, 36, 7, 5, 39, 16, 19, 41, 39, 4, 25, 15, 9, 20, 33, 41, 42, 44, 39, 6, 5, 49, 8, 2, 33, 21, 24, 26, 13, 27, 25, 22]",133
