Name,Crossover Name,Arrvied,Best Fitness,Best Genome,Genome Length
"Floors: 50, People: 10, Generation: 1000",swap_last_halves,10/10,549,"[0, 4, 5, 6, 7, 8, 12, 17, 22, 23, 24, 26, 27, 40, 41, 47, 13, 1, 34, 37]",20
"Floors: 50, People: 10, Generation: 1000",heuristic_crossover_single_gene,10/10,1436,"[8, 17, 7, 1, 13, 13, 34, 40, 37, 27, 24, 12, 6, 5, 4, 0, 27, 23, 24, 22, 22, 26, 41, 47, 27]",25
"Floors: 50, People: 10, Generation: 1000",heuristic_crossover_sequense_of_genes,10/10,979,"[0, 4, 6, 7, 12, 23, 26, 40, 41, 47, 13, 8, 27, 37, 5, 17, 22, 24, 1, 34]",20
