Name,Crossover Name,Arrvied,Best Fitness,Best Genome,Genome Length
"Floors: 100, People: 50, Generation: 1000",swap_last_halves,47/50,55844,"[80, 72, 65, 26, 41, 47, 58, 60, 59, 54, 48, 15, 7, 9, 17, 26, 31, 56, 64, 61, 51, 42, 37, 29, 44, 67, 71, 73, 78, 83, 85, 91, 89, 79, 64, 22, 9, 5, 2, 1, 36, 55, 39, 38, 50, 8, 13, 32, 53, 57, 72, 78, 70, 87, 97, 81, 18, 6, 34, 77, 49, 11, 20, 54, 90, 52, 23, 14, 48, 75, 56, 10, 2]",73
"Floors: 100, People: 50, Generation: 1000",heuristic_crossover_single_gene,31/50,214129,"[36, 47, 55, 50, 39, 15, 22, 50, 42, 60, 7, 56, 37, 35, 32, 53, 37, 68, 67, 75, 87, 79, 56, 56, 4, 17, 17, 56, 64, 73, 73, 78, 78, 65, 32, 22, 41, 10, 26, 37, 37, 39, 13, 14, 14, 72, 48, 48, 56, 56, 9, 32, 58, 56, 72, 61, 2, 2, 71, 71, 31, 83, 83, 83, 56, 56, 9, 86, 86, 86, 91, 91, 90, 22, 22, 22, 5, 39, 39, 39, 64, 56, 56, 56, 56, 55]",86
"Floors: 100, People: 50, Generation: 1000",heuristic_crossover_sequence_of_genes,49/50,44960,"[5, 62, 72, 80, 65, 58, 59, 26, 2, 17, 15, 44, 36, 47, 56, 60, 48, 31, 37, 64, 71, 83, 79, 54, 64, 85, 86, 55, 39, 9, 1, 5, 7, 51, 57, 50, 13, 42, 73, 61, 91, 89, 97, 75, 67, 38, 38, 32, 56, 63, 78, 41, 14, 22, 9, 6, 8, 18, 48, 53, 72, 6, 33, 49, 87, 94, 88, 20, 90, 85, 81, 77, 52, 23, 38, 89, 95, 93, 83, 10, 2, 9, 29, 11, 83, 54, 3, 20, 23, 40]",90
