Name,Crossover Name,Arrvied,Best Fitness,Best Genome,Genome Length
"Floors: 50, People: 10, Generation: 1000",swap_last_halves,10/10,825,"[0, 17, 24, 26, 1, 4, 6, 7, 8, 12, 13, 23, 27, 34, 37, 40, 41, 47, 5, 22]",20
"Floors: 50, People: 10, Generation: 1000",heuristic_crossover_single_gene,10/10,607,"[0, 1, 4, 5, 8, 12, 13, 17, 23, 24, 26, 22, 27, 34, 37, 47, 6, 6, 7, 41, 40, 7]",22
"Floors: 50, People: 10, Generation: 1000",heuristic_crossover_sequense_of_genes,10/10,697,"[0, 4, 5, 8, 12, 17, 22, 23, 26, 27, 24, 6, 7, 13, 37, 40, 41, 47, 1, 34]",20
