Name,Crossover Name,Arrvied,Best Fitness,Best Genome,Genome Length
"Floors: 10, People: 100, Generation: 1000",swap_last_halves,100/100,6727,"[5, 0, 1, 4, 1, 6, 9, 7, 2, 1, 3, 0, 4, 5, 7, 6, 1, 4, 5, 3, 9, 8, 6, 5, 8, 4, 2, 5, 9, 6, 0, 2, 5, 6, 9, 3, 4, 7, 8, 2, 1, 0, 5, 8, 6]",45
"Floors: 10, People: 100, Generation: 1000",heuristic_crossover_single_gene,100/100,9113,"[4, 5, 4, 1, 3, 6, 7, 4, 0, 1, 9, 9, 2, 4, 4, 7, 5, 0, 4, 6, 3, 4, 1, 0, 5, 9, 4, 3, 8, 9, 7, 1, 3, 6, 3, 4, 6, 0, 7, 2, 5, 4, 9, 3, 1, 2, 7, 6, 8, 5, 8, 2, 1, 0, 0, 5, 4, 6, 6, 6, 9]",61
"Floors: 10, People: 100, Generation: 1000",heuristic_crossover_sequense_of_genes,100/100,6880,"[5, 0, 1, 4, 1, 6, 9, 7, 2, 7, 5, 0, 7, 6, 1, 3, 4, 5, 6, 8, 6, 5, 4, 3, 5, 6, 9, 8, 6, 5, 2, 0, 3, 4, 5, 9, 7, 5, 4, 3, 1, 0, 2, 5, 6, 8, 6, 5, 4, 2, 1, 7]",52
