Name,Crossover Name,Arrvied,Best Fitness,Best Chromosome,Chromosome Length
"Floors: 10, People: 100, Generation: 1000",swap_last_halves,100/100,6373,"[4, 1, 6, 9, 7, 5, 4, 1, 0, 6, 5, 4, 5, 2, 1, 0, 2, 4, 7, 9, 6, 5, 1, 3, 4, 6, 2, 5, 9, 8, 6, 4, 3, 0, 2, 4, 7, 6, 5, 8, 4, 2, 5, 9, 8, 7, 6, 5, 3, 2, 1]",51
"Floors: 10, People: 100, Generation: 1000",heuristic_crossover_single_gene,90/100,107956,"[4, 5, 6, 4, 9, 1, 5, 0, 6, 7, 4, 1, 9, 2, 3, 0, 5, 4, 7, 6, 5, 1, 4, 3, 9, 5, 6, 0, 8, 4, 3, 5, 6, 9, 0, 9, 7, 6, 2, 4, 9, 1, 5, 3]",44
"Floors: 10, People: 100, Generation: 1000",heuristic_crossover_sequence_of_genes,100/100,7494,"[5, 1, 4, 6, 0, 4, 1, 9, 7, 2, 0, 5, 6, 3, 1, 0, 7, 5, 4, 5, 3, 6, 8, 9, 8, 6, 3, 4, 7, 5, 3, 1, 0, 2, 5, 6, 9, 8, 7, 6, 8, 5, 3, 2, 1, 4, 5, 0, 6, 8, 6, 2]",52
