Name,Crossover Name,Arrvied,Best Fitness,Best Chromosome,Chromosome Length
"Floors: 10, People: 50, Generation: 1000",swap_last_halves,50/50,2006,"[8, 3, 2, 4, 5, 0, 1, 5, 7, 8, 9, 2, 1, 6, 5, 3, 4, 6, 9, 7, 2, 1, 0, 5]",24
"Floors: 10, People: 50, Generation: 1000",heuristic_crossover_single_gene,50/50,2436,"[8, 5, 2, 4, 0, 1, 8, 9, 6, 5, 5, 4, 3, 2, 1, 5, 9, 9, 6, 4, 4, 3, 2, 4, 7, 6, 6, 6, 5, 5, 5, 1, 0, 0, 9, 8, 5, 3, 3, 3, 4, 6, 7, 7, 2, 7, 9, 4, 4, 5, 0, 5, 9, 4, 4, 2, 2, 0, 0, 0]",60
"Floors: 10, People: 50, Generation: 1000",heuristic_crossover_sequence_of_genes,50/50,1903,"[0, 1, 6, 5, 3, 1, 0, 4, 8, 9, 2, 4, 6, 5, 3, 1, 2, 5, 7, 9, 8, 5, 2, 1, 0, 3, 4, 9, 8, 2, 0]",31
