Name,Crossover Name,Arrvied,Best Fitness,Best Genome,Genome Length
"Floors: 50, People: 100, Generation: 1000",swap_last_halves,74/100,300697,"[40, 13, 1, 6, 41, 37, 32, 36, 45, 8, 10, 9, 17, 15, 48, 46, 26, 23, 0, 13, 35, 27, 43, 49, 24, 7, 5, 32, 23, 36, 39, 47, 20, 13, 19, 18, 16, 1, 25, 15, 33, 35, 6, 9, 12, 17, 29, 44, 42, 41, 3, 21, 39, 33, 28, 2, 1, 6, 18, 22, 3, 21, 30, 15, 20, 27, 23, 41, 39]",69
"Floors: 50, People: 100, Generation: 1000",heuristic_crossover_single_gene,35/100,661991,"[6, 46, 2, 21, 23, 32, 32, 36, 25, 25, 24, 26, 22, 12, 17, 28, 33, 1, 30, 37, 37, 27, 5, 5, 5, 27, 27, 27, 30, 36, 41, 41, 47, 27, 17, 17, 26, 32, 32, 25, 25, 25, 44, 45, 23, 13, 6, 42, 48, 48, 10, 7]",52
"Floors: 50, People: 100, Generation: 1000",heuristic_crossover_sequense_of_genes,69/100,341167,"[6, 25, 15, 41, 21, 9, 0, 13, 28, 32, 33, 37, 46, 45, 36, 47, 31, 10, 9, 1, 12, 13, 41, 29, 31, 44, 42, 16, 17, 25, 26, 27, 35, 7, 5, 15, 23, 27, 24, 43, 29, 31, 17, 15, 23, 49, 44, 33, 24, 43, 47, 39, 36, 32, 33, 19, 3, 21, 20, 26, 1, 18, 23, 16, 4, 6, 15, 35, 42, 39, 48, 25, 24, 27]",74
